text,y_true,y_pred,proba_negative,proba_neutral,proba_positive
This earphone doesnt work. You can not hear anything with this.,negative,negative,0.9083326951347903,0.07690105683378673,0.014766248031423
worked well good price,positive,positive,0.0028105478171166535,0.1517418051649438,0.8454476470179395
I have used this item for over 50 years and if they stop making it I don't know what I will do. It works perfectly on my skin and it was first recommended to me by a dermatologist for our son as he had a blotchy condition. This product still works for him as well. Please pass the work that there are many who still use it constantly.,positive,positive,0.01939549631522483,0.036551745353939194,0.9440527583308359
"If somebody thinks this phone to be top of the line in 2005, I won't be surprised, but if it's said in year of 2007, I can't help but laughing. Man, there are ton's of better phones out there now. This phone is just a basic phone if it's not looked as outdated. Who would like to use a phone with a technology 2 years ago, anti-intuitive menu, awkward address book and no extendable slot? Well, at first I would like a phone to be a phone, a mp3 player, a gps and a pda...That would be a pda phone like Cingular 8525 or Treo 700. But I have to pay $150 for that comparing to what I am paid $125 here, that is a difference of $275 with which I can buy a mp3 player or a gps that can do a better job than a pda phone. Therefore I decide to let the phone be a phone. Somebody said that there is a headset in his box, none in mine. What's in the Box ""RAZR V3 handset, lithium-ion battery, travel charger, user's manual. """,negative,positive,0.16259367434768077,0.3462473149858399,0.4911590106664793
"Listen folks i know these things don't work that great. but my department demands these for all patrol cars, because they think it will help. who knows, there may be some benefit. I have noticed the cell phone is what makes the difference. my nokia works better on signal than my moto phone does. But one warning. this is not a coil type as pictured. i was a little disappointed at the Liegth - coil is shorter. but shipping was very fast from this vendor. this vendor did a great job at shipping out fast. 4 day turn around!",neutral,neutral,0.06972984391732563,0.5379886125566351,0.39228154352603933
"This Product was stated to be a clear case,the case is all black,its already large and bulky which I didn't mind but I cannot see when I recieve a call,if I don't have the earphones on ,the money was put back on my account,then suddenly taken back,",negative,neutral,0.4505891437151777,0.5378431662043133,0.011567690080509018
Good to have,neutral,positive,0.02000272042316047,0.03411549628396441,0.9458817832928752
"I can make do with this, but the round socket and the rectangular flange are actually two separate piece. That is fine, but they don't mate properly, that is, the socket does not fit the flange. It doesn't appear that they were designed to go together. It will work, but not very professional.",neutral,neutral,0.2980350746369503,0.6989130118726802,0.0030519134903696146
"Phone arrived as promised, but the back was broken where it clips on. Wasn't a problem until I put the battery in and then it keeps popping off. Phone also shuts down when in use at various times. I purchased this phone a while back to have as a ""back up""...but when it came time to need it, it was of no use!",negative,neutral,0.3930155178586687,0.5645775271954888,0.04240695494584244
i really love this i owned a motorola before but this one is far better and excellent sound quality on both sides of communication,positive,positive,0.019608003465140605,0.028376217326421035,0.9520157792084383
We bought 2 of these. We experienced the same issues with both. One problem is what sounds like interference. The other is that the mic has to be held close to the mouth in order to pick up sound. We bought a different set and put these in the glove box for back up.,negative,negative,0.5132232123945131,0.46739827012852186,0.019378517476965052
"I needed a wireless headset to use at the Y with my iPhone. Already have a Plantrionics Voyager 855 that I really like, but the stereo connector quit working recently. While waiting on my replacement Voyager to arrive, I thought I'd try the Motorola S9 and see if I liked them any better. I bought a set this afternoon from my local Best Buy and will be returning them first thing tomorrow morning. Why? I can't wear them because I wear glasses! The S9 is designed to fit snugly against the head just above the ears right where the arms of glasses rest. Other reviews mention not being able to wear sunglasses, but for those of us unable to wear contacts or qualify for Lasik and doomed to glasses 24/7 should forget about buying these. The fit is great when I take my glasses off, but that's not really an option when I need to see where I'm going in a crowded gym!",negative,positive,0.26800745280114313,0.09205980096957793,0.6399327462292789
"I was excited to receive my Prismiq Media Player with the hope that I could finally integrate my television, stereo, and computer-based music, video and photo collections. It was not to be. The Prismiq Media Player does not live up to its promise. I was able to browse the web, listen to nearly flawless internet radio (the best quality streaming media I have ever heard) but when it came to listening to my WMA files over a wired 100mbps network, the music skipped and popped worse than a scratched CD--worse than an old vinyl LP. Sadly, the unit does not appear to be defective. After a few calls & emails to Prismiq's rather sub-par tech support, I have given up. Save your money until this product is ready for prime time.",negative,negative,0.5262547047379479,0.45017801247403766,0.023567282788014416
"I've had this phone for 3 months, after using mostly blackberrys and Samsung flip phones for the past 7 years. Samsung makes very good phones. Overall: I am generally happy with the phone. The battery life is good, and the Verizon network is the best I have experienced ever. The phone looks great, and has many functions. However, I have not explored everything on this phone yet. The basic web function is good. The screen is excellent. I love the voice recognition software - it is excellent and works well. The speakerphone function is okay - not great, but useable. I have dropped it a few times, without a problem thus far. It is thin and the weight is acceptable. Complaints: It is easy to drop and rather slippery due to its very smooth and glossy exterior. The keypad is mediocre; Blackberry still has the best keypad for emails or other text. With this keypad, I need to use my nails. If I had no nails, I would find it very challenging. The calendar & calculator functions could be better integrated. Bottom line: I was hoping to use this as a PDA/phone, and am finding it difficult at times. I guess it was not truly designed to be used as a PDA, although it has the basic functions of a PDA. I haven't used the music function, so cannot speak to that.",neutral,positive,0.0010033975939188792,0.13718260180063233,0.8618140006054489
"This phone is clearly a marketing gimmick. The worst reception ever on a cell phone. I have had other phones(all Nokias)that did not have all the bells and whistles of this phone, but I actually received phone calls. If you live in an area that does not have the greatest reception, you will really regret this purchase. I hope I save one poor soul from this phone.",negative,negative,0.9422482546452694,0.03153403529791877,0.0262177100568119
This headset has good sound quality - the best bluetooth I have owned. It generally makes up for the less than quality sound of my Blackberry phone - most people can hear me better than when talking directly on the phone. Rarely do I get any cutting out. I would buy it again. It also has a great price compared to most other well rated headsets.,positive,positive,0.00347595583176088,0.019719458271890547,0.9768045858963486
"I have recieved this item finally, after a month that it took to get here. Also, there is a rhinestone that is already about to fall off and another is missing. Its very cute but won't beable to use long unless i want to keep glueing rhinestones back onto the platic. One other thing is, it does not fit correctly on the Iphone 4. Thanks!",neutral,neutral,0.4710895818327213,0.5238420164810639,0.005068401686214864
"I had a case for my older Samsung that was soft leather and covered clip that didn't pinch. This works, but.......",neutral,neutral,0.06524222016578644,0.8219364251480687,0.11282135468614495
"No one could understand what I was saying! This was a used headset, so perhaps something was wrong with just this unit. The reviews on the H700 were okay, but THIS particular one was useless. It also looked somewhat beat up when I received it. Right from the start people were saying that we had a bad connection. Most people said that they just couldn't understand me. With some, I would end the call then call again with my friends Bluetooth and they would say ""That's MUCH better!"". I explained this to the BooksExpress610 rep and was told ""This unit was tested by our trained staff prior to being listed on Amazon. The report we have that it was in perfect working order. If you would like go ahead and return it to us however a restocking fee will be charged by BooksExpress610."" I then asked how much and was told ""We will not know how much the restocking fee is going to be until we see the product and the condition of it. It also depends on if you return the provided accessories with it (USB cable) restocking fee is between 5%-15%."" So, I shipped it back in the exact condition it was shipped to me in, with the USB cable, and, of course, they charged me the full 15%! I will avoid Books Express610 for anything in the future! They were not in the least bit concerned with customer satisfaction. As I told them, I REALLY wanted to love this headset! Now I don't know what to get for a Bluetooth headset as I had really high hopes for the H700.",negative,negative,0.9375854323067425,0.02974417256316875,0.03267039513008877
"The adapter is ver useful beacuse it is not rigid like others, but the sound quality is not great. I tried the iphone headphones with and without the adapter and there was a notable diference.",neutral,neutral,0.11971501474260506,0.8653271899455953,0.014957795311799669
"This product works super well. Before, I could not receive a signal in my basement office. After installation, I received four bars on my cell phone in my basement office. Very pleased.",positive,positive,0.02215220091355472,0.06360347944035842,0.9142443196460868
Unfortunately I read a few of the reviews warning not to buy this piece of crap but bought anyway thinking it was an original equipment manufacturer's version which worked fine but it wasn't. Be very aware that this is truly a waste of money no matter how cheap it is. I am constantly told my voice can not be heard but the background noise comes through like 'gangbusters'. You can hear who you are talking too but they can barely hear you.,negative,negative,0.9884449846855481,0.01137838764244047,0.00017662767201133612
"I like this soap. It foams well on a luffa and smells great. The smell does not linger at all, unfortunately. You will just smell it in the shower. Bummer.",neutral,negative,0.49658320777518916,0.16593815498339506,0.33747863724141564
"Hi All, I got D&G phone as a gift from India. I bought this holder and a bluetooth headset from Amazon. The phone was working fine for past few months and also worked ok after I used the holder for some time. But lately since past few weeks, the phone was going out of service mode or ""Insert SIM"" mode all of a sudden. This happened every single day since a week or so. I stopped using this leather holder (after visiting Cingular and finding that they can't help resolve my issue with the phone) and now since couple of days the phone fine. I am thinking that the magnets in the leather pouch is causing some interference with the phone. Also, I didn't like the holder that much anyway, as it's belt holder is too stiff and doesn't slide smoothly on to the belt. My 2 cents. Thanks.",negative,neutral,0.22843935192812836,0.6905063360100487,0.08105431206182294
"excellent item, solved my problem",neutral,positive,0.024611098616006417,0.44830097621835696,0.5270879251656366
"This battery is already starting to over heat. It was great at first but when I replace this one I will get a regular Samsung battery. I do like that it is larger, I wish that it had a longer life considering the price.",neutral,neutral,0.18437992187322294,0.6440007419496033,0.1716193361771738
"No matter how much you hope it will work...it wont. I promise you. The makers of this garbage feed off of people like me who thought ""well maybe it will work for me."" It didn't work for me, it won't work for you.",negative,negative,0.9282322490819788,0.06985578511053149,0.001911965807489791
"item fits all sizes of iPods, but it uses an adjustable arm to do so, which does not look like it will survive extended usage. The item doesn't even work, anyway. No charge, no radio transmission. Fresh out of the box too. We are looking into our car charger to more fully explore the nature of the problem, but had i known about the ""adjustability"" factor earlier, i wouldn't have bought this item.",neutral,negative,0.8105082065071113,0.14783524501901882,0.04165654847386998
"I had the IMP500 and have now upgraded to the IMP52D. This is a superior product and very reliable. I like the size and shape, though it's still a bit heavy but worth toting it around when I need the power. I like that the micro usb is now the female option to charge the IMP52D. I to tend to use my OEM Motorola cable which has a better fit to my phone. The LED and Laser lights are 'nice to have' and while I honestly don't use them, I suppose they may come in handy at sometime in the future. It might be nice to have a separate button to trigger the lights vs. the battery power so you don't have to cycle through and press/hold to get a light if that's what is needed. Mainly what is great about the IMP52D is the amount of charge/power you get to your device. It's tiny but mighty! Which makes it the ideal commuter or travel accessory. I don't leave home with out it!",positive,positive,0.0013756997603751643,0.04544479882877691,0.9531795014108478
This Item might look good. But it is worthless. The Tape on the bottom to hold it down not good. It blow right off the car. And it really does not work at all. did not change the range of any signal.,negative,negative,0.9730778314268521,0.02562977150037958,0.0012923970727684371
The battery only lasts a couple days before needing recharge. When new the original battery that came with the phone lasted 10-15 days. This replacement is significantly inferior and only useful if... your original battery can only hold a charge for a couple days AND you don't mind leaving the phone on the charger most of the time AND you don't want to pay the higher price for a good replacement battery,negative,neutral,0.422471073492921,0.4503457017349993,0.1271832247720797
"I was not happy with my decision to purchase this product,I had people tell me they could here themselves and I sounded like I was in a tin shed.",negative,negative,0.7959873036320215,0.10201517034974951,0.10199752601822898
"This headset was purchased to replace TWO crappy jabra freespeaks. This is very small, but unlike the goldlatern bluetreks or the Jabra, does not hide its mass well; it all sits right outside your ear, and in completely inconspicuous. With my old bluetrek and even the jabra, my hair hid most of it, which for me is a plus, as I do not use Bluetooth headsets to impress people or get atttention; I don't want peoples attention and questions. Which is this headsets only drawback - it has this HUGE, BLUE ORB-LIKE LIGHT on it that takes up the whole front of the piece. YOU WILL ATTRACT ATTENTION with this headset on. It blinks in standby, it blinks when in operation, it blinks all the dang time. But, if you can get passed that, it does work pretty well. The sound is a little tinny, but pretty clear. And unlike all my other bluetooth headsets, the headset volume only operates the headset, and doesn't link to the phone volume - this means that you have more adjustability for volume level and loudness, which is good. The mic seems really good - no complaints from those on the other end, basically. And the battery life isn't TOO ugly at 5 hours. And the ear anchor could be a little more rigid and smaller for smaller ears, but it will do as long as you are not jogging around constantly.",positive,neutral,0.019217496551726023,0.901637914793685,0.07914458865458904
"I bought these to use with my new 80G Ipod and couldn't be happier with them. Easy to set up, easy to use (once I figured out I could control the volume right on the right-side earpiece). Great sound, very comfortable, good range. I am delighted with this purchase. I initially chose this brand because I have had such good luck with the Logitech wireless keyboard and mouse. I'm even more impressed with the company now.",positive,positive,0.010883374917120051,0.007857421961592012,0.981259203121288
Crap did not work,negative,negative,0.999123483435537,0.0008735691381496908,2.947426313374085e-06
"Does what it says it will, but the volume is significantly lacking. Still have wires to contend with. Wish the Motorola S9 would have gotten better reviews as I would have liked it much better I think.",neutral,neutral,0.08918664967031222,0.7091298962082421,0.20168345412144578
"I purcahsed this, and it does not work. It worked a couple of times then quit. What a waste of money. It might have been a fluke, or it just might have been junk that was sold!",neutral,negative,0.9941521668879633,0.005310447425422869,0.0005373856866138678
